代碼,股本,PE,PB,當月營收YOY,當月營收MOM,稅後淨利成長率%,除息日,公司動態,股東會日,營收月份,法說會日
2408,309.86,0.0,0.83,-5.12,-7.76,17.62,,9月營收25.85億元，10/9法說會,,2024/09,
2409,769.94,0.0,0.87,11.25,8.64,75.93,,10/31法說會,,2024/08,
2412,775.74,26.33,2.63,4.08,3.29,-1.81,,,,2024/08,
2417,15.76,0.0,1.99,-9.12,-10.21,-49.1,,9月營收2.64億元,,2024/09,
2419,32.13,0.0,2.1,30.28,40.33,-53.22,,9月營收7.80億元,,2024/09,
2420,15.26,19.55,3.35,24.29,2.39,27.91,,,,2024/08,
2421,27.34,18.94,3.65,20.31,-6.37,-0.56,,,,2024/09,
2425,9.65,45.31,2.09,-11.06,36.14,-78.62,,,,2024/08,
2426,30.06,96.8,1.86,15.27,-0.18,226.42,,,,2024/08,
2427,19.68,17.39,1.72,-26.36,-13.56,32.87,,,,2024/08,
2429,8.55,0.0,5.49,8.6,22.41,-63.24,,10/4申報轉讓70.00張,,2024/09,
2436,17.80,40.19,3.21,1.94,5.51,77.62,,9月營收2.91億元,,2024/09,
2438,6.52,0.0,5.18,186.94,23.4,-232.42,,,,2024/08,
2439,25.64,14.54,1.91,1.03,1.0,127.09,,,,2024/09,
2442,26.18,12.46,1.46,655.23,265.76,90.09,,,,2024/08,
2449,122.27,21.36,3.46,12.38,0.27,20.29,,,,2024/08,
2451,42.99,15.37,2.34,3.54,15.23,140.96,,,,2024/08,
2453,10.00,17.99,2.66,7.49,-2.1,16.95,,,,2024/08,
2454,160.17,19.57,5.17,-1.72,-8.95,75.06,,,,2024/08,
2455,18.49,39.19,9.32,-6.15,-1.7,233.98,,9月營收2.69億元,,2024/09,
2457,43.12,77.26,1.78,-3.63,-1.23,-30.44,,,,2024/08,
2458,30.39,14.9,4.27,-7.65,-6.23,96.58,,,,2024/09,
2464,20.45,88.33,3.7,-2.15,14.53,6.43,,,,2024/08,
2465,8.39,0.0,9.75,44.01,67.58,-71.85,,,,2024/08,
2467,15.68,56.12,8.07,11.86,-6.74,71.26,,,,2024/09,
2474,68.04,13.67,0.96,18.49,-16.4,49.26,,,,2024/08,
2476,20.98,19.35,2.5,24.47,-0.32,81.75,,,,2024/09,
2477,15.86,26.96,1.14,49.14,57.39,373.06,,,,2024/08,
2486,23.40,201.82,5.07,10.94,2.94,-69.13,,9月營收5.02億元,,2024/09,
2489,68.00,16.6,1.13,35.19,-6.12,166.56,2024/10/18,10/18除息0.59元,,2024/09,
2492,48.58,20.76,1.06,7.31,-1.68,43.99,,,,2024/08,
2495,27.36,22.15,2.22,-14.39,-1.83,213.38,,,,2024/08,
2497,12.28,35.58,4.72,24.2,-9.27,65.33,,9月營收4.44億元,,2024/09,
2498,83.26,0.0,1.9,-43.84,65.94,-8.52,,9月營收3.38億元,,2024/09,
2501,115.96,11.91,1.1,1.17,-14.82,52.31,,,,2024/08,
2504,118.00,12.5,2.35,8.49,11.77,71.98,,,,2024/08,
2505,38.00,31.83,0.84,-96.66,59.64,-24.73,,,,2024/08,
2506,38.70,0.0,0.58,25.33,-39.01,-132.76,,,,2024/08,
2511,162.33,51.67,0.7,2.65,1.65,-89.03,,9月營收6.23億元,,2024/09,
2515,153.09,28.75,0.79,36.38,30.8,-3.76,,,,2024/08,
2520,55.42,5.42,1.19,5.7,-25.11,220.92,,,,2024/08,
2524,36.94,36.21,1.87,-4.34,15.2,1038.27,,,,2024/08,
2527,27.03,14.12,0.76,-78.75,104.28,113.69,,,,2024/08,
2528,41.34,0.0,2.79,109133.0,5920.73,-164.15,,,,2024/09,
2530,84.00,26.21,3.11,76454.0,-46.35,2450.69,,,,2024/08,
2534,47.42,56.96,0.87,-49.94,-34.73,-103.84,,,,2024/08,
2536,33.28,23.52,0.91,-0.46,-66.05,110.22,,,,2024/08,
2537,30.06,35.21,1.2,-99.29,-99.77,387.76,,,,2024/08,
2538,44.50,0.0,1.28,32.11,166.3,-91.34,,10/7除權0.15元,,2024/08,
2539,99.43,22.12,3.59,-99.5,0.0,5.23,,,,2024/08,
2540,62.49,18.27,3.71,95.97,14.42,159.65,,,,2024/09,
2542,207.06,38.38,1.74,-52.27,20.6,-11.68,,,,2024/08,
2543,33.07,16.06,5.04,-7.11,-11.02,693.1,2024/10/22,8月營收9.03億元,,2024/08,
2545,32.77,8.38,1.63,1105.01,126.72,792.96,,,,2024/08,
2547,95.51,0.0,0.88,4.29,-18.56,-14.71,,,,2024/08,
2548,30.45,16.13,2.11,62.89,-34.65,-85.91,,,,2024/08,
2596,10.00,45.25,1.88,-75.28,42.7,-11.09,,,,2024/08,
2597,25.89,11.1,3.79,22.75,11.12,72.62,,,,2024/08,
2601,82.48,0.0,0.78,-12.05,6.93,58.14,,,,2024/08,
2603,215.54,5.56,0.82,115.74,-1.17,281.32,,,,2024/08,
2606,84.51,12.15,1.2,13.05,-29.15,104.8,,,,2024/08,
2607,106.71,13.72,0.96,57.37,-1.76,-19.52,,,,2024/08,
2609,349.21,9.04,0.75,110.51,1.19,579.09,,,,2024/08,
2610,605.18,14.34,1.65,8.99,-3.27,46.9,,,,2024/08,
2613,14.84,29.65,1.45,5.37,9.13,660.05,,,,2024/08,
2614,30.02,0.0,1.66,-13.7,-7.05,35.09,,,,2024/08,
2615,280.61,16.2,1.05,126.45,-3.49,463.95,,,,2024/08,
2617,41.73,7.05,0.78,32.13,-0.89,87.37,,,,2024/08,
2618,540.04,8.23,1.82,9.66,0.26,19.33,,,,2024/08,
2633,562.83,21.23,2.38,13.8,-2.04,-1.04,,9月營收44.57億元,,2024/09,
2634,94.19,19.61,2.63,-6.12,9.35,5.97,,,,2024/08,
2641,31.06,9.07,0.86,23.64,-3.2,148.97,,,,2024/08,
2645,37.46,19.18,2.98,4.47,6.21,8.42,,,,2024/08,
2731,9.33,7.24,3.35,18.89,-9.14,86.25,,,,2024/08,
2739,9.15,6.26,3.08,-0.75,7.56,328.61,,,,2024/08,
2745,3.38,8.17,3.93,23.36,-17.42,86.93,,,,2024/08,
2801,1120.58,14.39,0.99,24.43,-3.59,6.19,,,,2024/08,
2809,111.12,8.9,1.25,27.77,64.64,37.68,,9月營收8.16億元,,2024/09,
2812,551.88,12.07,1.22,8.19,-4.14,39.64,,,,2024/08,
2834,916.80,12.13,1.02,25.38,-4.63,0.67,,,,2024/08,
2836,178.63,19.34,0.87,24.41,-9.2,-1.12,,,,2024/08,
2838,405.01,12.83,0.84,26.46,2.94,11.42,,,,2024/08,
2845,427.54,12.19,0.93,-5.17,-16.56,18.15,,,,2024/08,
2851,80.04,7.54,1.03,-32.02,-29.2,58.74,,,2024/10/29,2024/08,
2855,145.58,8.94,1.15,36.19,-14.78,88.35,,,,2024/08,
2867,539.95,25.27,0.83,-29.43,-43.15,236.1,,,,2024/08,
2880,1377.92,15.74,1.68,7.03,-21.54,6.75,,,,2024/08,
2881,1366.57,11.36,1.42,-71.32,-91.44,91.19,,,,2024/08,
2882,1466.92,11.06,1.26,-12.0,-59.98,117.05,,,,2024/08,
2883,1680.86,10.88,1.03,-206.3,-113.44,67.07,,10/4申報轉讓2774.00張,,2024/08,
2884,1599.58,18.49,1.86,25.8,-11.11,20.48,,,,2024/09,
2885,1294.29,13.97,1.37,-6.69,-36.37,18.9,,,,2024/08,
2886,1483.34,16.11,1.62,8.39,-19.52,8.68,,,,2024/08,
2887,1297.61,14.11,1.12,37.91,16.96,19.04,,,2024/10/09,2024/08,
2888,1753.65,9.56,0.71,-11677.5,-204.86,424.3,,,2024/10/09,2024/08,
2889,353.22,25.83,1.32,-3.25,-30.17,13.93,,,,2024/08,
2890,1268.59,13.73,1.55,13.8,-13.13,20.65,,,,2024/08,
2891,1962.05,10.54,1.54,-14.79,-48.61,27.19,,10/4申報轉讓150.00張,2024/10/11,2024/08,
2892,1402.87,16.1,1.45,26.11,1.23,4.33,,,,2024/08,
2897,280.43,10.47,0.75,-2.78,-28.6,3.08,,,,2024/08,
2903,141.69,16.59,1.26,-7.16,3.7,-39.08,,,,2024/08,
