name,id,cg
杏輝,1734,"'製藥','中、西藥製劑'"
日勝化,1735,"'塑化','工業用合成樹脂'"
喬山,1736,
臺鹽,1737,"'塑化','化妝品','食品',"
台蠟,1742,"'半導體','化學品','貿易百貨','貿易"
南光,1752,"'製藥','中、西藥製劑'"
寶齡富錦,1760,"'塑化','化妝品','製藥',"
中化生,1762,"'製藥','中藥材、西藥原料藥'"
勝一,1773,"'面板','化學品(如光阻劑、靶材等)"
展宇,1776,"'塑化','工業用合成樹脂'"
生泰,1777,"'製藥','中藥材、西藥原料藥'"
合世,1781,"'醫療器材','體溫計、血壓計'"
和康生,1783,"'醫療器材','醫療耗材'"
訊聯,1784,"'再生醫療','幹細胞收集儲存','再生醫療"
光洋科,1785,"'其他','環保潔能服務產業','半導體'"
科妍,1786,"'製藥','中、西藥製劑','原材料', "
杏昌,1788,"'製藥','藥品代理銷售及通路','醫療器材',"
神隆,1789,"'製藥','中藥材、西藥原料藥'"
美時,1795,"'製藥','中、西藥製劑','食品生技','食"
金穎生技,1796,"'食品生技','保健食品代理銷售及通路'"
易威,1799,"'製藥','中、西藥製劑','醫療器材','醫"
台玻,1802,"'PCB','玻璃纖維_玻纖布','建"
寶徠,1805,'建商'
冠軍,1806, '建材原料'
潤隆,1808,'建商'
中釉,1809,"'LED','封裝_模組'"
和成,1810, '建材原料'
寶利徠,1813,"'醫療器材','隱型眼鏡、光學鏡片'"
富喬,1815,"'PCB','玻璃纖維_玻纖布'"
凱撒衛,1817," '建材原料','貿易百貨', "
士紙,1903,"'造紙','工業用紙'"
正隆,1904,"'造紙','工業用紙','文化用紙'"
華紙,1905,"'造紙','文化用紙','紙漿、紙類原料'"
寶隆,1906,"'造紙','銷售、進出口業務'"
永豐餘,1907,"'其他','文化印刷業','造紙','家"
榮成,1909,"'造紙','紙漿、紙類原料'"
中鋼,2002,"'鋼鐵','冷熱軋鋼板捲','棒鋼盤元(捲"
東和鋼鐵,2006,"'鋼鐵','鋼筋','鋼胚'"
燁興,2007,"'鋼鐵','棒鋼盤元(捲狀條鋼)','線材"
高興昌,2008,"'鋼鐵','冷熱軋鋼板捲','製管'"
第一銅,2009,"'鋼鐵','冷熱軋鋼板捲'"
春源,2010,"'鋼鐵','不鏽鋼棒線','冷熱軋不鏽鋼板"
春雨,2012,"'鋼鐵','模具','機械設備(如產業機械"
中鋼構,2013,"'鋼鐵','金屬製品','風力發電','風力發"
中鴻,2014,"'鋼鐵','冷熱軋鋼板捲','製管'"
豐興,2015,"'鋼鐵','棒鋼盤元(捲狀條鋼)','金屬"
官田鋼,2017,"'鋼鐵','線材盤元','螺絲螺帽'"
美亞,2020," '建材原料','建設"
聚亨,2022,"'鋼鐵','線材盤元','螺絲螺帽'"
燁輝,2023,"'鋼鐵','冷熱軋鋼板捲'"
志聯,2024,"'鋼鐵','鋼線鋼纜'"
千興,2025,"'鋼鐵','冷熱軋不鏽鋼板捲'"
大成鋼,2027,"'鋼鐵','製管'"
威致,2028,"'鋼鐵','棒鋼盤元(捲狀條鋼)','線材"
盛餘,2029,"'鋼鐵','冷熱軋鋼板捲'"
彰源,2030,"'鋼鐵','製管'"
新光鋼,2031,'太陽能產業'
新鋼,2032,"'鋼鐵','裁剪加工'"
佳大,2033,"'鋼鐵','鋼線鋼纜'"
允強,2034,"'鋼鐵','不鏽鋼型鋼','冷熱軋不鏽鋼板"
唐榮,2035,"'鋼鐵','不鏽鋼胚'"
海光,2038,"'鋼鐵','鋼筋'"
上銀,2049,"'電機','傳動元件'"
川湖,2059,'其他'
風青,2061,
橋椿,2062,
世鎧,2063,"'鋼鐵','不鏽鋼棒線','螺絲螺帽'"
晉椿,2064,"'鋼鐵','不鏽鋼棒線','棒鋼盤元(捲狀"
世豐,2065,"'鋼鐵','螺絲螺帽'"
世德,2066,"'電動車輛產業','大功率鋰電池芯_模組、"
嘉鋼,2067,"'電機','金屬加工處理'"
運錩,2069,"'鋼鐵','冷熱軋不鏽鋼板捲','裁剪加工"
精湛,2070,"'電機','專用機械(如紡織成衣生產用機械"
雄順,2073,"'鋼鐵','冷熱軋鋼板捲','棒鋼盤元(捲"
南港,2101,"'汽車','汽車:輪胎'"
泰豐,2102,"'汽車','汽車:輪胎','塑化','石化及"
台橡,2103,"'塑化','橡膠製品'"
國際中橡,2104,"'塑化','橡塑膠添加劑'"
正新,2105,"'塑化','橡膠製品'"
建大,2106,"'其他','汽車','汽車:輪胎',"
厚生,2107,"'塑化','橡膠製品'"
南帝,2108,"'塑化','橡膠製品'"
華豐,2109,"'塑化','橡膠製品'"
鑫永銓,2114,"'塑化','橡膠製品'"
六暉-KY,2115,"'塑化','橡膠製品'"
裕隆,2201,"'汽車','汽車:整車組裝、修理及技術服務'"
中華,2204,"'汽車','汽車:整車組裝、修理及技術服務','汽車:"
三陽工業,2206,"'汽車','汽車:整車組裝、修理及技術服務','汽車:"
和泰車,2207,"'汽車','汽車:銷售、進出口業務','電動車輛產業'"
台船,2208,"'其他','風力發電','風力發電:"
長榮鋼,2211,"'鋼鐵','金屬製品'"
大甲,2221,"'鋼鐵','金屬製品'"
裕日車,2227,"'汽車','汽車:整車組裝、修理及技術服務','汽車:"
劍麟,2228,'汽車'
