代碼,股本,ROE%,PB,當月營收YOY,當月營收MOM,稅後淨利成長率%,除息日,公司動態,股東會日,營收月份,法說會日,每股淨值
2401,59.2,0.4,1.3,0.2,1.2,-87.5,,,2025/06/13,2025/04,,14.6
2402,30.8,2.6,1.7,20.6,0.9,92.7,,,2025/06/19,2025/05,,21.9
2404,19.1,15.2,9.2,7.2,4.5,57.3,,,2025/06/10,2025/04,,60.3
2405,34.3,0.1,1.6,-7.3,2.3,-78.3,,5月營收1.38億元,,2025/05,,10.6
2406,35.1,-1.9,1.0,-48.4,13.3,-1855.9,,,2025/06/27,2025/04,,10.8
2408,309.9,-1.2,1.0,-0.5,6.9,-60.6,,,,2025/05,,52.8
2409,754.7,2.0,0.6,-2.6,-10.5,191.2,,,,2025/04,,20.1
2412,775.7,2.5,2.6,6.2,-1.4,6.2,2025/07/03,7/3除息5.00元,,2025/04,,50.9
2417,15.8,-0.5,1.7,-0.3,10.4,-438.2,,5月營收2.96億元,2025/06/18,2025/05,,21.4
2419,32.1,0.3,1.5,43.4,57.1,57.1,,,,2025/05,,15.5
2420,15.3,3.8,2.0,9.6,-2.4,-18.6,,,,2025/04,,26.7
2421,27.3,5.8,3.2,16.1,-9.5,44.6,2025/06/16,5月營收14.72億元,,2025/05,,30.9
2425,9.6,0.3,1.4,103.6,-5.5,171.4,,,2025/06/20,2025/04,,25.9
2426,30.1,-0.0,1.2,3.3,-2.4,87.1,,5月營收2.26億元,,2025/05,,12.7
2427,19.7,3.3,1.5,19.0,-36.4,-0.2,,,,2025/04,,16.3
2429,8.6,-1.9,7.0,27.9,-26.3,-15.4,,,2025/06/13,2025/04,,10.2
2436,17.8,0.8,2.8,24.9,5.2,-65.9,2025/06/26,5月營收3.15億元,,2025/05,,19.2
2438,6.5,-3.1,4.5,70.4,37.8,49.0,,,2025/06/10,2025/04,,7.2
2439,25.5,2.1,1.7,0.4,7.2,-3.2,,5月營收35.28億元,,2025/05,,66.1
2442,26.2,1.4,1.4,351.9,-71.5,-55.8,,,,2025/04,,18.1
2449,122.3,2.8,2.6,24.7,-0.6,207.8,,5月營收27.65億元,,2025/05,,39.1
2451,43.1,2.0,2.5,26.3,-9.3,-53.7,,,2025/06/20,2025/04,,40.7
2453,10.0,4.2,2.9,13.4,7.1,4.9,,,2025/06/11,2025/04,,19.9
2454,160.2,7.4,5.3,16.0,-12.9,-6.7,2025/07/03,7/3除息25.00元,,2025/04,,243.2
2455,18.5,4.6,5.7,-25.0,-5.3,-18.5,2025/06/20,6/20除息3.22元,,2025/05,,18.8
2457,43.1,-1.4,1.0,-6.6,-2.6,-309.8,,,2025/06/10,2025/04,,23.1
