代碼,股本,ROE%,PB,當月營收YOY,當月營收MOM,稅後淨利成長率%,除息日,公司動態,股東會日,營收月份,法說會日,每股淨值
6451,10.8,-1.5,1.9,94.8,-9.8,-33.4,2025/07/25,5月營收5.95億元,2025/06/25,2025/05,,66.0
6462,9.1,-4.1,1.5,18.3,-14.5,-143.2,,,2025/06/25,2025/04,,68.6
6477,12.4,-0.3,1.2,-7.8,6.1,75.6,2025/06/27,5月營收0.71億元,,2025/05,,25.3
6488,47.8,1.6,1.6,-3.7,-5.2,-58.8,2025/07/16,5月營收50.07億元,,2025/05,,191.7
6505,952.6,1.2,1.2,-8.8,-21.3,-26.2,2025/06/25,6/25除息0.80元,,2025/04,,31.0
6530,3.4,3.2,3.4,24.1,-5.4,39.4,2025/06/18,5月營收0.25億元,,2025/05,,14.4
6531,8.1,3.0,4.6,51.2,-5.2,-6.1,2025/06/18,5月營收3.95億元,,2025/05,,68.4
6548,3.8,3.7,2.7,6.5,-5.9,-4.0,2025/06/19,5月營收10.46億元,,2025/05,,11.8
6550,77.0,-10.4,5.0,-80.6,-0.8,-57.6,,,,2025/04,,7.9
6558,9.4,-0.4,2.9,7.2,6.5,-452.3,,,,2025/04,,15.9
6592,62.3,1.9,1.4,-21.5,-0.3,-14.4,,,,2025/04,,49.5
6605,16.6,4.2,1.5,5.2,-5.6,-5.9,,,2025/06/20,2025/04,,120.1
6640,2.8,2.9,10.9,-14.2,60.9,-69.6,2025/06/17,6/17除息15.00元,,2025/04,,40.8
6658,3.6,0.6,2.1,76.5,124.0,129.6,,,,2025/04,,37.2
6791,2.1,4.4,5.0,22.2,-9.1,-20.9,,,2025/06/20,2025/04,,20.2
8028,17.3,5.3,5.0,20.9,-7.6,266.5,2025/06/18,5月營收3.28億元,,2025/05,,26.7
8033,15.3,2.2,5.0,-26.4,-10.2,58.0,,,2025/06/17,2025/04,,11.9
8038,6.2,-2.7,5.2,1198.4,416.4,42.7,,,2025/06/20,2025/04,,6.3
8042,13.0,-0.2,1.0,23.1,4.4,-181.1,,,2025/06/13,2025/04,,30.5
8069,115.0,3.9,4.5,50.2,3.2,64.8,,,,2025/04,,47.8
8222,6.9,2.3,3.9,55.4,-21.1,-29.0,,,2025/06/16,2025/04,,13.6
8234,14.1,2.5,3.4,50.7,-24.2,484.6,,,2025/06/25,2025/04,,23.1
8374,11.2,2.2,5.4,47.8,-1.7,3992.7,,,,2025/05,,18.6
8455,2.5,-1.9,1.0,44.4,36.8,-81.0,,,2025/06/18,2025/04,,20.3
