stockId,sortLabel,sortCode,nearBy,nearByAvg
3188,dceba,89,,
3189,Tcde,2,ab,109.31
3191,dTba,119,ce,18.15
3202,Ta,89,bcde,15.6
3205,edcT,120,ab,37.33
3206,T,119,abcde,47.76
3207,Tbea,78,cd,138.28
3209,Tcde,1,ab,40.24
3211,abcde,1,,
3213,Teba,89,cd,98.65
3217,aTc,96,bde,154.55
3218,edcba,120,,
3219,abcde,1,,
3221,edcba,120,,
3224,Tde,32,abc,47.5
3226,edcT,120,ab,51.38
3227,bacde,2,,
3228,edcT,115,ab,232.54
3229,Teba,89,cd,22.81
3230,bacde,2,,
3231,abT,6,cde,105.88
3232,Ta,119,bcde,27.36
3234,bTde,2,ac,46.13
3236,abT,21,cde,21.09
3252,Tcab,115,de,20.71
3257,abTd,6,ce,60.49
3259,Tcab,115,de,28.39
3260,edcba,120,,
3264,edcba,120,,
3265,Tcba,120,de,114.2
3266,Tcba,120,de,21.26
3268,T,26,abcde,26.41
3272,abT,6,cde,30.67
3276,edcT,120,ab,16.58
3284,dceba,89,,
3285,abTe,1,cd,28.59
3287,Tcba,120,de,39.2
3288,edcT,120,ab,25.49
3289,abcde,1,,
3290,Tcde,2,ab,35.97
3293,abTe,1,cd,979.37
3294,Tcba,120,de,32.85
3296,Tcde,1,ab,27.62
3297,Tbea,78,cd,26.09
3303,Tcde,1,ab,58.8
3305,Ta,89,bcde,69.47
3306,Tea,47,bcd,57.08
3308,eadbc,25,,
3310,edcT,120,ab,83.9
3311,T,26,abcde,38.28
3312,cdbT,73,ae,67.43
3313,Tcba,120,de,18.31
3317,edcba,120,,
3321,Tcba,119,de,18.99
3322,edcba,120,,
3323,aeTc,111,bd,25.13
3324,Tea,77,bcd,679.11
3325,edaT,100,bc,23.86
3338,Tcba,120,de,72.74
3339,Te,73,abcd,40.92
3346,edT,110,abc,38.83
3354,bacde,2,,
3357,Teba,89,cd,130.15
3360,Tcde,2,ab,18.18
3362,Tbea,78,cd,237.06
3363,bacde,2,,
3372,Tcba,119,de,18.89
3373,edcba,120,,
3374,cbTe,33,ad,212.13
3376,dTba,89,ce,195.12
3379,cbdae,43,,
3380,baT,7,cde,34.67
3388,Tba,120,cde,72.32
3390,Tba,89,cde,31.21
3402,Tde,2,abc,106.42
3406,Tcba,119,de,499.37
3413,Tde,32,abc,348.5
3416,T,89,abcde,139.01
3419,T,110,abcde,17.11
3426,Tde,32,abc,50.19
3430,bacde,2,,
3432,dTba,89,ce,22.19
3434,Tcba,120,de,28.78
3437,Ta,120,bcde,26.36
3438,T,26,abcde,76.74
3441,baT,2,cde,38.08
3443,eTc,40,abd,1225.77
3444,edcba,120,,
3447,abcde,1,,
3450,Tcde,2,ab,221.34
3454,edT,120,abc,121.14
3455,Tcde,1,ab,136.24
3465,edcba,120,,
3466,bacde,2,,
3479,Tcba,120,de,108.17
3481,Tcde,2,ab,15.93
3483,Tba,119,cde,167.13
3484,cdbT,78,ae,53.73
3489,decba,119,,
3490,aTe,11,bcd,33.9
3491,cbTe,33,ad,305.23
3492,Tde,2,abc,28.5
3494,Tcde,1,ab,8.03
3498,Tcde,2,ab,66.58
3499,T,47,abcde,21.28
3501,Tba,89,cde,66.64
3504,eT,105,abcd,56.36
3508,abT,21,cde,26.76
3511,bacde,2,,
3512,edcba,120,,
3515,edT,120,abc,206.48
3516,Tcde,2,ab,27.57
3518,Tab,115,cde,32.48
3520,abcde,1,,
3521,edcba,120,,
3522,Tde,32,abc,23.5
3523,Tcde,1,ab,25.24
3526,Tcde,1,ab,277.01
3527,edcT,120,ab,79.31
3528,T,43,abcde,51.52
3529,abcde,1,,
3530,baeT,27,cd,96.29
3532,edcba,120,,
3533,abcde,1,,
3535,cTde,33,ab,58.34
3537,bTde,32,ac,59.7
3540,edT,120,abc,37.78
3541,edcT,120,ab,29.01
3543,T,58,abcde,22.88
3545,beaT,97,cd,83.97
3546,T,100,abcde,80.33
3548,edcba,120,,
3550,bacde,2,,
3551,abcde,1,,
3552,eadbc,25,,
3555,Tcab,114,de,34.89
3556,edT,120,abc,48.68
3557,Tbea,78,cd,72.66
3558,edcba,120,,
3563,Te,2,abcd,357.75
3564,Tdae,43,bc,91.34
3567,edcT,115,ab,33.57
3570,edcT,115,ab,145.47
3576,edcT,115,ab,11.38
3577,bcT,37,ade,62.19
3580,Tde,33,abc,97.47
3581,abcde,1,,
3583,bacde,2,,
3587,T,42,abcde,274.46
3588,bT,97,acde,81.84
3591,bT,2,acde,26.2
3592,edTa,120,bc,350.15
3593,Teba,88,cd,14.55
3594,edcT,120,ab,40.47
3596,abeT,26,cd,151.39
3597,abcde,1,,
3605,bacde,2,,
3607,Tcde,1,ab,21.41
3609,Tcab,114,de,40.66
3611,T,21,abcde,221.16
3615,Tcde,2,ab,35.48
3617,Tcde,1,ab,308.96
3622,Te,32,abcd,64.67
3623,edcba,120,,
3624,Tba,120,cde,51.82
3625,edcT,120,ab,11.9
3628,edcba,120,,
3630,edT,115,abc,27.35
3631,cTae,73,bd,43.68
3632,T,89,abcde,14.33
3645,Teba,88,cd,46.93
3646,T,114,abcde,30.04
3652,aTde,1,bc,42.29
3653,Tcde,2,ab,1458.19
3661,edcT,115,ab,1977.36
3663,abcde,1,,
3664,aeTc,96,bd,24.96
3665,Tcde,1,ab,468.41
3666,Tb,99,acde,33.34
3669,edcT,120,ab,44.98
3672,abeT,26,cd,21.39
3673,Te,33,abcd,42.82
3675,T,77,abcde,294.76
3679,Te,1,abcd,132.94
3680,bTde,32,ac,546.77
3684,T,115,abcde,45.4
3685,edcT,120,ab,17.66
3686,Tabe,63,cd,23.76
3687,abcT,1,de,98.08
3689,Tcde,1,ab,90.87
3691,edcba,120,,
3693,edcba,120,,
3694,edcba,120,,
3701,edacb,100,,
3702,edcT,120,ab,76.25
3702A,Tcde,1,ab,50.85
3703,Tcba,120,de,31.83
3704,aTdc,96,be,39.7
3705,Tde,32,abc,57.13
3706,baT,2,cde,45.3
3707,edcT,115,ab,55.71
3708,Tcba,120,de,118.21
3709,abcde,1,,
3710,bacde,2,,
3711,Te,2,abcd,157.29
3712,Tbea,78,cd,52.59
3713,Tcab,115,de,24.23
3714,abcT,1,de,43.72
3715,bTd,7,ace,68.86
3716,edcT,120,ab,38.3
4102,Tba,119,cde,37.59
4104,T,120,abcde,88.0
4105,eT,120,abcd,73.8
4106,edcT,120,ab,25.38
4107,Tba,89,cde,128.11
4108,edcT,120,ab,17.48
4109,Tbea,78,cd,27.53
4111,Tcab,115,de,26.75
4113,edcba,120,,
4114,Tcba,120,de,38.16
4116,edTa,120,bc,51.6
4119,T,110,abcde,89.77
4120,Tde,1,abc,48.85
4121,edcT,120,ab,17.91
4123,abT,1,cde,47.61
4126,T,12,abcde,88.56
4127,Tde,1,abc,35.82
4128,edcT,120,ab,38.98
4129,aT,11,bcde,97.09
4130,edT,120,abc,22.48
4131,Tba,89,cde,30.85
4133,edcT,120,ab,29.64
4137,edT,110,abc,142.95
4138,edcT,120,ab,89.69
4139,eT,80,abcd,30.91
4142,edcba,120,,
4147,edaT,100,bc,79.88
4148,abT,26,cde,47.08
4153,cdTa,78,be,44.09
4154,bacde,2,,
4155,Tba,120,cde,24.74
4157,eTba,120,cd,14.41
4160,Tbea,78,cd,92.38
4161,Tdae,42,bc,35.08
4162,abeT,26,cd,90.95
4163,edcT,115,ab,113.82
4164,edcba,120,,
4167,T,29,abcde,21.97
4168,T,100,abcde,26.31
4171,edcT,120,ab,29.15
4173,Tba,120,cde,21.17
4174,Tba,88,cde,70.34
4175,edcT,120,ab,70.08
4183,T,89,abcde,23.65
4188,edcT,120,ab,22.03
4190,abTd,6,ce,51.21
4192,Tcba,120,de,40.47
4205,edcT,120,ab,88.6
4207,Tcba,120,de,17.31
4303,Tde,2,abc,47.57
4304,aTde,1,bc,11.23
4305,Te,32,abcd,45.48
4306,Tba,119,cde,19.48
4401,Tba,120,cde,24.02
4402,dceba,89,,
4406,T,2,abcde,10.8
4413,Ta,120,bcde,18.02
4414,edcba,120,,
4416,Tcba,120,de,94.39
4417,T,43,abcde,39.45
4419,Tbea,78,cd,51.76
4420,dTba,89,ce,55.46
4426,edcT,120,ab,13.24
4430,T,1,abcde,21.7
4432,T,22,abcde,23.62
4433,T,110,abcde,28.88
4438,edcT,120,ab,103.06
4439,edcT,120,ab,90.24
4440,T,2,abcde,26.54
4442,Tcde,1,ab,34.53
4502,edcT,120,ab,25.43
4503,edT,95,abc,51.2
4506,aT,11,bcde,101.29
4510,bTde,32,ac,42.71
4513,Teba,89,cd,51.77
4523,edcba,120,,
4526,Tade,32,bc,33.22
4527,abcde,1,,
4528,Tba,120,cde,29.48
4529,edcab,115,,
4530,abcde,1,,
4532,bTe,2,acd,26.97
4533,Tbae,74,cd,41.33
4534,cdbae,73,,
4535,T,88,abcde,34.44
4536,abcde,1,,
4538,Teba,88,cd,20.87
4540,Tcde,2,ab,44.05
4541,baT,7,cde,29.0
4542,bacde,2,,
4543,Tcba,120,de,51.61
4545,Tcde,1,ab,62.55
4549,Tde,2,abc,162.72
4550,edcT,120,ab,25.77
4551,Tcde,2,ab,132.78
4552,edTa,120,bc,26.71
4554,T,99,abcde,29.42
4555,edcba,120,,
4556,Tba,119,cde,34.38
4557,Tcde,1,ab,133.24
4558,abcde,1,,
4560,edT,115,abc,33.05
4561,bcade,32,,
4562,Tade,32,bc,66.11
4563,bacde,2,,
4564,Tcba,120,de,24.3
4566,cbTe,43,ad,87.11
4568,Tba,120,cde,54.13
4569,abcde,1,,
4571,Tcde,2,ab,165.97
4572,Tba,120,cde,155.53
4576,abcde,1,,
4577,abcT,6,de,22.0
4580,Tcba,119,de,98.88
4581,edcT,120,ab,54.01
4583,Tcde,1,ab,776.15
4584,Tba,89,cde,65.84
4588,edcT,120,ab,85.77
4609,Teba,88,cd,8.74
4702,T,120,abcde,12.86
4706,T,41,abcde,30.56
4707,Teba,88,cd,15.11
4711,Tde,2,abc,17.89
4714,Tba,119,cde,19.72
4716,Tcde,1,ab,29.98
4720,Tbae,73,cd,20.53
4721,edcT,115,ab,71.06
4722,Te,43,abcd,44.62
4726,aTe,11,bcd,49.55
4728,T,69,abcde,268.76
4729,Tcde,2,ab,30.62
4735,cTae,73,bd,41.33
4736,T,119,abcde,159.29
4737,abT,21,cde,68.6
4739,edT,100,abc,59.71
4741,cTe,63,abd,43.75
4743,edcba,120,,
4744,edcba,120,,
4745,T,55,abcde,22.58
4746,edcT,120,ab,91.49
4747,aebT,96,cd,70.52
4754,T,120,abcde,41.28
4755,Tcba,120,de,132.46
4760,Tdae,43,bc,130.61
4763,Tba,90,cde,872.83
4764,Tcde,2,ab,46.28
4766,Tcba,120,de,308.45
4768,Ta,89,bcde,225.35
4770,edcT,120,ab,335.14
4771,edcba,120,,
4772,edcba,120,,
4806,Tbea,78,cd,13.73
4807,abcde,1,,
4903,bacde,2,,
4904,Te,3,abcd,88.82
4905,Tba,119,cde,91.8
4906,Tba,89,cde,38.37
4907,dTba,119,ce,70.08
4908,Ta,47,bcde,100.27
4909,cbTe,33,ad,132.1
4911,baT,22,cde,57.11
4912,Tacb,100,de,105.9
4915,Tbea,78,cd,89.45
4916,eTc,10,abd,29.27
4919,eadbc,25,,
4923,edcba,120,,
4924,dTba,89,ce,19.6
4927,cdeba,88,,
4930,baT,2,cde,33.44
4931,Tcde,2,ab,34.98
